symbol,currency,exchange_timezone,exchange,mic_code,type,datetime,open_value,high_value,low_value,close_value,volume
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-12,192.11,194.73,187.28,188.13,95498600
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-09,190.18,194.12,189.48,193.57,84476300
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-08,189.0,191.62,185.58,189.56,83034000
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-07,188.18,189.79,182.68,187.58,111535200
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-06,177.21,186.49,177.11,185.1,122676000
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-05,184.26,184.68,175.01,181.06,134294400
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-02,185.04,188.69,182.0,187.91,110505100
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-01,188.5,189.88,184.28,188.86,91843300
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-31,187.0,193.97,185.85,187.29,103221400
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-30,195.33,196.36,190.61,191.59,109982300
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-29,185.63,191.48,183.67,190.93,125013100
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-26,185.5,186.78,182.1,183.25,107343200
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-25,189.7,193.0,180.06,182.63,198076800
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-24,211.88,212.73,206.77,207.83,123369900
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-23,211.3,215.65,207.75,209.14,106605900
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-22,212.26,217.8,206.27,208.8,117952500
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-19,209.99,213.19,207.56,212.19,102095800
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-18,216.88,217.45,208.74,211.88,108595400
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-17,214.86,215.67,212.01,215.55,103164400
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-16,215.1,223.49,212.18,219.91,115355000
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-12,220.08,225.34,217.15,218.89,122889000
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-11,230.57,230.93,225.37,227.22,105873600
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-10,235.1,235.5,231.29,233.94,91628500
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-09,238.11,238.96,232.04,234.96,96705700
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-08,236.14,241.25,235.3,240.45,85166600
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-05,236.86,240.12,234.9,237.49,92379400
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-04,239.25,242.7,237.73,237.93,102629300
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-03,244.98,245.68,236.32,238.45,121082600
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-02,250.08,251.25,244.41,248.42,104654200
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-26,505.13,510.0,495.214,495.89,11131203
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-25,505.79,507.22,500.24,503.02,8380600
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-22,507.0,509.97,504.34,509.58,8117000
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-21,514.71,515.04,506.01,507.76,9712500
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-20,499.5,508.2,495.17,505.52,11711100
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-19,488.17,496.63,481.28,496.24,10903100
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-18,491.91,497.42,486.81,496.98,11755300
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-15,489.01,491.83,481.3,484.1,29141700
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-14,500.26,501.35,488.16,491.83,12620000
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-13,495.39,500.98,491.03,495.57,12090700
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-12,493.26,502.31,484.73,499.75,15448200
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-11,497.01,497.32,476.0,483.59,20428300
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-08,514.19,523.57,499.35,505.95,18575200
